Duncan,Jennifer,Norfolk County,18,22,Dakar,ON,F
Adara,Ulysses,Hamburg,7,22,Dakar,HH,F
Kendall,Herrod,Picture Butte,10,22,St Louis,Alberta,M
Iris,Judah,Palencia,19,21,Dakar,CL,F
Oren,Oscar,Mogi das Cruzes,11,21,St Louis,SP,1
Jenette,Randall,Santa Coloma de Gramenet,10,22,Thies,Catalunya,F
Hector,Stacey,Salerno,4,22,Thies,Campania,M
Aphrodite,Wallace,Gävle,17,21,Thies,Gävleborgs län,F
Signe,Vladimir,Abbeville,14,21,Thies,Picardie,M
Melodie,Neve,Vienna,9,21,Dakar,Wie,F
Bruno,Ray,Monteroni d'Arbia,7,21,Dakar,TOS,M
Flavia,Dorian,Vienna,3,22,Dakar,Wie,F
Amir,Colton,Saint-Maur-des-Fossés,2,22,Dakar,IL,M
Amir,Kelly,Dublin,16,21,Dakar,L,M
Clementine,Kylan,Sale,6,21,St Louis,Victoria,F
Rashad,Gareth,Zierikzee,5,22,Thies,Zl,1
John,Quemby,Liverpool,8,22,Dakar,New South Wales,M
Tasha,David,Portsoy,11,22,Thies,Banffshire,M
Shelly,Rinah,Helmond,3,21,Thies,N.,F
Kameko,Thane,Diadema,9,22,St Louis,SP,F
Norman,August,Ipatinga,5,22,Dakar,Minas Gerais,F
Austin,Kylie,Bloomington,10,21,St Louis,MN,M
Nero,Moana,Rankweil,10,21,St Louis,Vbg,M
Halee,Denise,Cartagena,20,22,Dakar,MU,F
Shaine,Octavia,Flint,19,21,St Louis,Michigan,F
Xander,Leroy,Okene,7,22,Dakar,Kogi,M
Paula,Herman,Thames,5,21,Thies,North Island,F
Ivan,Roth,Chicago,20,22,Dakar,IL,M
